Compiler,ImportFunctions
Binaryen,wbg.__wbg_set_2c01beee50abda32
Binaryen,./rust_webpack.__widl_f_local_storage_Window
Binaryen,./index.js.__wbg_call_836fa928f74337e5
Binaryen,wbg.__widl_f_performance_Window
Binaryen,env.__cargo_web_snippet_62ef43cf95b12a9b5cdec1639439c972d6373280
Binaryen,wbg.__wbindgen_closure_wrapper133
Binaryen,wbg.__widl_instanceof_Window
Binaryen,./js_framework_benchmark_simi.__wbg_randomFillSync_355c3fcfa754fa4e
Binaryen,env.__cargo_web_snippet_ff5103e6cc179d13b4c7a785bdce2708fd559fc0
Binaryen,./rust_webpack.__wbindgen_rethrow
Binaryen,./https_everywhere_lib_wasm.__wbg_value_efc53c71db10c238
Binaryen,./rust_webpack.__wbg_request_782be487eaff692b
Binaryen,./rust_webpack.__wbg_error_cc95a3d302735ca3
Binaryen,wbg.__widl_f_location_Window
Binaryen,wbg.__wbg_new_2d6a830207834e5d
Binaryen,./rust_webpack.__widl_f_set_timeout_with_callback_and_timeout_and_arguments_0_Window
Binaryen,wbg.__wbg_length_adb683705527add7
Binaryen,./index.js.__widl_f_prevent_default_Event
Binaryen,./rust_webpack.__wbg_newwithbyteoffsetandlength_e1bb839b58ed223f
Binaryen,./js_framework_benchmark_simi.__widl_f_append_child_Node
Binaryen,./cardano_wallet_browser.__wbindgen_json_parse
Binaryen,./rust_webpack.__widl_f_click_HTMLElement
Binaryen,./rust_webpack.__widl_f_set_download_HTMLAnchorElement
Binaryen,wbg.__wbg_length_b6e0c5630f641946
Binaryen,./cardano_wallet_browser.__wbindgen_json_serialize
Binaryen,./rust_webpack.__wbg_call_c4231861d7360fd6
Binaryen,./index.js.__wbg_removechild_b47675f15e0460fd
Binaryen,env.__cargo_web_snippet_f03767d5868baf486b51c1e3988d0ce100e850ca
Binaryen,./index.js.__wbg_then_1469c8cdb2c56f2f
Binaryen,./rust_webpack.__widl_instanceof_Element
Binaryen,wasi_unstable.fd_readdir
Binaryen,./https_everywhere_lib_wasm.__wbg_values_e8a26a3eb612c7c3
Binaryen,env.__cargo_web_snippet_c954dd1aab8dac1357d1b982abe9869582f12683
Binaryen,wbg.__widl_f_get_context_HTMLCanvasElement
Binaryen,./index.js.__wbg_addclass_98f6d75340c883ab
Binaryen,./js_framework_benchmark_simi.__widl_f_class_list_Element
Binaryen,env.__cargo_web_snippet_614a3dd2adb7e9eac4a0ec6e59d37f87e0521c3b
Binaryen,./rust_webpack.__widl_f_add_event_listener_with_callback_EventTarget
Binaryen,./index.js.__wbg_createelement_362b6383204303eb
Binaryen,ctx.lineTo
Binaryen,env.__cargo_web_snippet_a152e8d0e8fac5476f30c1d19e4ab217dbcba73d
Binaryen,./rust_webpack.__widl_f_query_selector_Document
Binaryen,./js_framework_benchmark_simi.__wbindgen_is_symbol
Binaryen,./rust_webpack.__wbg_remove_2e13e07f0143ed2c
Binaryen,./https_everywhere_lib_wasm.__wbg_from_66ee95be4fef51b2
Binaryen,wbg.__widl_f_document_element_Document
Binaryen,./rust_webpack.__wbindgen_closure_wrapper261
Binaryen,./js_framework_benchmark_simi.__widl_f_add_1_DOMTokenList
Binaryen,env.__cargo_web_snippet_f765b15a1a1b5cd266e922e6fca98dd570f17edc
Binaryen,./index.js.__wbindgen_throw
Binaryen,wbg.__wbindgen_closure_wrapper73
Binaryen,./index.js.__wbindgen_closure_wrapper120
Binaryen,./cardano_wallet_browser.__wbindgen_object_drop_ref
Binaryen,env.__cargo_web_snippet_0da47658267a7497de743e1b0892f992ba6ca6ef
Binaryen,env.__cargo_web_snippet_d5e30f74cb752784e06bd97a37b1f89b6c3433a7
Binaryen,wbg.__widl_instanceof_CanvasRenderingContext2D
Binaryen,wbg.__widl_f_get_item_Storage
Binaryen,wbg.__wbindgen_closure_wrapper489
Binaryen,wbg.__widl_f_now_Performance
Binaryen,wbg.__wbindgen_closure_wrapper129
Binaryen,wbg.__wbg_eval_db021fde4456b657
Binaryen,./https_everywhere_lib_wasm.__wbg_new_acdbe9c25dc35c37
Binaryen,wasi_unstable.poll_oneoff
Binaryen,env.__cargo_web_snippet_3dd0b74074665f534a3d93d0ba1e78505fd94b66
Binaryen,./rust_webpack.__wbg_call_eae29933372a39be
Binaryen,./js_framework_benchmark_simi.__wbindgen_object_drop_ref
Binaryen,wbg.__wbindgen_closure_wrapper474
Binaryen,wasi_unstable.path_symlink
Binaryen,./index.js.__widl_f_get_attribute_Element
Binaryen,./https_everywhere_lib_wasm.__wbindgen_string_new
Binaryen,./cardano_wallet_browser.__wbindgen_string_new
Binaryen,wbg.__wbg_includes_ac97179ab4ffffc7
Binaryen,./rust_webpack.__wbindgen_closure_wrapper788
Binaryen,./rust_webpack.__widl_f_get_item_Storage
Binaryen,wbg.__widl_f_new_with_str_and_init_Request
Binaryen,wbg.__wbindgen_closure_wrapper120
Binaryen,./rust_webpack.__widl_f_replace_child_Node
Binaryen,wbg.__widl_f_length_HTMLCollection
Binaryen,./rust_webpack.__wbindgen_is_null
Binaryen,./rust_webpack.__widl_f_new_with_str_and_init_Request
