Compiler,ImportFunctions
wasm-bindgen,wbg.__wbindgen_closure_wrapper126
wasm-bindgen,env.__cargo_web_snippet_72fc447820458c720c68d0d8e078ede631edd723
wasm-bindgen,env.__cargo_web_snippet_f91e3759ea8e40c15404c8b089c74fe76b61421e
wasm-bindgen,wbg.__wbg_new_ed7079cf157e44d5
wasm-bindgen,env.hello
wasm-bindgen,wbg.__wbindgen_closure_wrapper122
wasm-bindgen,env.__cargo_web_snippet_ec62bad51093fd25faa38be3170e100862e191f3
wasm-bindgen,wbg.__wbindgen_throw
wasm-bindgen,./wasm_bindgen_demo.__wbg_alert_c4b76dc346d3e6f7
wasm-bindgen,wbg.__wbg_set_2c01beee50abda32
wasm-bindgen,./rust_webpack.__widl_f_local_storage_Window
wasm-bindgen,./index.js.__wbg_call_836fa928f74337e5
wasm-bindgen,wbg.__widl_f_performance_Window
wasm-bindgen,env.__cargo_web_snippet_62ef43cf95b12a9b5cdec1639439c972d6373280
wasm-bindgen,wbg.__wbindgen_closure_wrapper133
wasm-bindgen,wbg.__widl_instanceof_Window
wasm-bindgen,./js_framework_benchmark_simi.__wbg_randomFillSync_355c3fcfa754fa4e
wasm-bindgen,env.__cargo_web_snippet_ff5103e6cc179d13b4c7a785bdce2708fd559fc0
wasm-bindgen,./rust_webpack.__wbindgen_rethrow
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_value_efc53c71db10c238
wasm-bindgen,./rust_webpack.__wbg_request_782be487eaff692b
wasm-bindgen,./rust_webpack.__wbg_error_cc95a3d302735ca3
wasm-bindgen,wbg.__widl_f_location_Window
wasm-bindgen,wbg.__wbg_new_2d6a830207834e5d
wasm-bindgen,./rust_webpack.__widl_f_set_timeout_with_callback_and_timeout_and_arguments_0_Window
wasm-bindgen,wbg.__wbg_length_adb683705527add7
wasm-bindgen,./index.js.__widl_f_prevent_default_Event
wasm-bindgen,./rust_webpack.__wbg_newwithbyteoffsetandlength_e1bb839b58ed223f
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_append_child_Node
wasm-bindgen,./cardano_wallet_browser.__wbindgen_json_parse
wasm-bindgen,./rust_webpack.__widl_f_click_HTMLElement
wasm-bindgen,./rust_webpack.__widl_f_set_download_HTMLAnchorElement
wasm-bindgen,wbg.__wbg_length_b6e0c5630f641946
wasm-bindgen,./cardano_wallet_browser.__wbindgen_json_serialize
wasm-bindgen,./rust_webpack.__wbg_call_c4231861d7360fd6
wasm-bindgen,./index.js.__wbg_removechild_b47675f15e0460fd
wasm-bindgen,env.__cargo_web_snippet_f03767d5868baf486b51c1e3988d0ce100e850ca
wasm-bindgen,./index.js.__wbg_then_1469c8cdb2c56f2f
wasm-bindgen,./rust_webpack.__widl_instanceof_Element
wasm-bindgen,wasi_unstable.fd_readdir
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_values_e8a26a3eb612c7c3
wasm-bindgen,env.__cargo_web_snippet_c954dd1aab8dac1357d1b982abe9869582f12683
wasm-bindgen,wbg.__widl_f_get_context_HTMLCanvasElement
wasm-bindgen,./index.js.__wbg_addclass_98f6d75340c883ab
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_class_list_Element
wasm-bindgen,env.__cargo_web_snippet_614a3dd2adb7e9eac4a0ec6e59d37f87e0521c3b
wasm-bindgen,./rust_webpack.__widl_f_add_event_listener_with_callback_EventTarget
wasm-bindgen,./index.js.__wbg_createelement_362b6383204303eb
wasm-bindgen,ctx.lineTo
wasm-bindgen,env.__cargo_web_snippet_a152e8d0e8fac5476f30c1d19e4ab217dbcba73d
wasm-bindgen,./rust_webpack.__widl_f_query_selector_Document
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_is_symbol
wasm-bindgen,./rust_webpack.__wbg_remove_2e13e07f0143ed2c
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_from_66ee95be4fef51b2
wasm-bindgen,wbg.__widl_f_document_element_Document
wasm-bindgen,./rust_webpack.__wbindgen_closure_wrapper261
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_add_1_DOMTokenList
wasm-bindgen,env.__cargo_web_snippet_f765b15a1a1b5cd266e922e6fca98dd570f17edc
wasm-bindgen,./index.js.__wbindgen_throw
wasm-bindgen,wbg.__wbindgen_closure_wrapper73
wasm-bindgen,./index.js.__wbindgen_closure_wrapper120
wasm-bindgen,./cardano_wallet_browser.__wbindgen_object_drop_ref
wasm-bindgen,env.__cargo_web_snippet_0da47658267a7497de743e1b0892f992ba6ca6ef
wasm-bindgen,env.__cargo_web_snippet_d5e30f74cb752784e06bd97a37b1f89b6c3433a7
wasm-bindgen,wbg.__widl_instanceof_CanvasRenderingContext2D
wasm-bindgen,wbg.__widl_f_get_item_Storage
wasm-bindgen,wbg.__wbindgen_closure_wrapper489
wasm-bindgen,wbg.__widl_f_now_Performance
wasm-bindgen,wbg.__wbindgen_closure_wrapper129
wasm-bindgen,wbg.__wbg_eval_db021fde4456b657
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_new_acdbe9c25dc35c37
wasm-bindgen,wasi_unstable.poll_oneoff
wasm-bindgen,env.__cargo_web_snippet_3dd0b74074665f534a3d93d0ba1e78505fd94b66
wasm-bindgen,./rust_webpack.__wbg_call_eae29933372a39be
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_object_drop_ref
wasm-bindgen,wbg.__wbindgen_closure_wrapper474
wasm-bindgen,wasi_unstable.path_symlink
wasm-bindgen,./index.js.__widl_f_get_attribute_Element
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_string_new
wasm-bindgen,./cardano_wallet_browser.__wbindgen_string_new
wasm-bindgen,wbg.__wbg_includes_ac97179ab4ffffc7
wasm-bindgen,./rust_webpack.__wbindgen_closure_wrapper788
wasm-bindgen,./rust_webpack.__widl_f_get_item_Storage
wasm-bindgen,wbg.__widl_f_new_with_str_and_init_Request
wasm-bindgen,wbg.__wbindgen_closure_wrapper120
wasm-bindgen,./rust_webpack.__widl_f_replace_child_Node
wasm-bindgen,wbg.__widl_f_length_HTMLCollection
wasm-bindgen,./rust_webpack.__wbindgen_is_null
wasm-bindgen,./rust_webpack.__widl_f_new_with_str_and_init_Request
wasm-bindgen,./rust_webpack.__widl_f_item_NodeList
wasm-bindgen,./index.js.__widl_f_next_sibling_Node
wasm-bindgen,./js_framework_benchmark_simi.__wbg_newnoargs_6a80f84471205fc8
wasm-bindgen,env.__cargo_web_snippet_97495987af1720d8a9a923fa4683a7b683e3acd6
wasm-bindgen,./index.js.__widl_f_add_event_listener_with_callback_EventTarget
wasm-bindgen,ctx.beginPath
wasm-bindgen,Math.sin
wasm-bindgen,wbg.__widl_f_url_Response
wasm-bindgen,wbg.__wbg_call_fdde574e8abf6327
wasm-bindgen,./index.js.__wbindgen_object_drop_ref
wasm-bindgen,./rust_webpack.__wbg_set_f8046b3bf0f3406a
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_boolean_get
wasm-bindgen,./rust_webpack.__wbindgen_closure_wrapper256
wasm-bindgen,env.__cargo_web_snippet_199d5eb25dfe761687bcd487578eb7e636bd9650
wasm-bindgen,./rust_webpack.__widl_f_remove_child_Node
