"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
35,59442,83379,emscripten.py,make_emulated_param,1,PYTHON,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/emscripten.py
36,59442,83379,src/ecmascript_simd.js,simdCheckLaneIndex,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
37,59442,83379,src/ecmascript_simd.js,simdFrom,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
38,59442,83379,src/ecmascript_simd.js,binaryAdd,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
39,59442,83379,src/ecmascript_simd.js,simdBinaryOp,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
40,59442,83379,src/ecmascript_simd.js,simdAllTrue,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
41,59442,83379,src/ecmascript_simd.js,simdShiftOp,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
42,59442,83379,src/ecmascript_simd.js,simdLoad,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
43,59442,83379,src/ecmascript_simd.js,simdStore,1,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
44,59442,83379,src/ecmascript_simd.js,SIMD.Float32x4.swizzle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
45,59442,83379,src/ecmascript_simd.js,SIMD.Float32x4.shuffle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
46,59442,83379,src/ecmascript_simd.js,SIMD.Int32x4,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
47,59442,83379,src/ecmascript_simd.js,SIMD.Int32x4.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
