"ID","IssueID","CommitID","Filename","Additions","Deletions","RawURL","FileSHA"
43339,319,82773,tests/compiler/issues/1095.ts,11,0,https://github.com/AssemblyScript/assemblyscript/raw/fa5d4db9c4e48f8b827aa5c6d164a9e8f9d366c4/tests/compiler/issues/1095.ts,a4fe4a68754cb29b67129dd590f3f6c657177d3e
43340,319,82773,tests/compiler/issues/1095.untouched.wat,1676,0,https://github.com/AssemblyScript/assemblyscript/raw/fa5d4db9c4e48f8b827aa5c6d164a9e8f9d366c4/tests/compiler/issues/1095.untouched.wat,e7da4773187513b19d45b706ad033e26dcf5d914
43336,319,82773,src/compiler.ts,11,10,https://github.com/AssemblyScript/assemblyscript/raw/fa5d4db9c4e48f8b827aa5c6d164a9e8f9d366c4/src/compiler.ts,fc2118469763c4f5a685c0763e7aece328a0efc6
81,321,35051,tests/compiler/extends-baseaggregate.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/extends-baseaggregate.optimized.wat,"02318392a31da846b86f49cdda73f4a8065cc36c"
94,321,35051,tests/compiler/rc/optimize.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/rc/optimize.optimized.wat,"05fac0499807c2ca95c9bf8581b7c9caa84b4706"
96,321,35051,tests/compiler/rc/rereturn.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/rc/rereturn.optimized.wat,"06a6133ebc0a23916b06d85dccd03ee11dde2f0b"
79,321,35051,tests/compiler/do.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/do.optimized.wat,"07f8392087e62587c998aad54f4a5d2c36b335d9"
125,321,35051,tests/compiler/std/typedarray.untouched.wat,719,715,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/std/typedarray.untouched.wat,"0c32f8445acc63cd333f043fa9545662d4458f32"
98,321,35051,tests/compiler/rc/ternary-mismatch.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/rc/ternary-mismatch.optimized.wat,"283330fb40dfb7e7a40f75dee9174842cb7b3361"
114,321,35051,tests/compiler/std/dataview.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/std/dataview.optimized.wat,"30450126475e13fd8bbbd89fb836bbd432739f21"
108,321,35051,tests/compiler/std/array-literal.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/std/array-literal.optimized.wat,"319f8a7c8198ff3749376a9ec187e16c8c00235d"
126,321,35051,tests/compiler/while.optimized.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/while.optimized.wat,"32579be582f395bb25bda83a61e4a7398994ba26"
127,321,35051,tests/compiler/while.untouched.wat,1,1,https://github.com/AssemblyScript/assemblyscript/raw/289ddb7a4df941434b5652c682e542bf5d835278/tests/compiler/while.untouched.wat,"325866b88af46b306e3122d3ccd5c83ae9031246"
