URL,Language,Bug Inducing Input Location,Purpose,Tested API,Root Cause,Root Cause Category,Root Cause SubCategory,Bug Fix,,,,,,,,,,
EMULATED_FUNCTION_POINTERS=1 issue with EH and functions returning int64 · Issue #7399 · emscripten-core/emscripten · GitHub,C++,https://github.com/emscripten-core/emscripten/issues/7399#issue-374593788,"Exception Handling,Indirect Calls",Func *,Functions returning i64 and called through indirection are not being legalized,Data Type Incompatibilities ,Legalization,Fix wrappers for functions under EMULATED_FUNCTION_POINTERS setting,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6727,C,https://github.com/emscripten-core/emscripten/issues/6727#issue-334009811,SDL,"emscripten_wait, emscripten_sleep",Malloc calls not working with emterpretify functionality,Synchronous/Asynchronous,,Add maloc to whitelist of async  emterpretify functions,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6233,C,https://github.com/emscripten-core/emscripten/issues/6233#issue-296532315,Attributes,EMSCRIPTEN_KEEPALIVE,EMSCRIPTEN_KEEPALIVE doesn't preserve function through optimization passes,Bugs in Other Infrastructures,,Support new visibility attribute to preserve exported functions ,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6352,C++,https://github.com/emscripten-core/emscripten/issues/6352#issue-306809878,Floating Point Values,int64_t,Outlining is not needed with wasm,Data Type Incompatibilities,Precision Issue,Mention in documentation,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6245,C,https://github.com/emscripten-core/emscripten/issues/6245#issue-296823866,Function Export,"__attribute__((visibility(""default"")))",Attributes not preserved through optimization,Bugs in Other Infrastructures,,Support new visibility attribute to preserve exported functions ,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6234,C,https://github.com/emscripten-core/emscripten/issues/6234#issue-296535030,Math Library,"exp2, log10, log10f",Some functions in math.h are not included in runtime libraries,Bugs in Other Infrastructures,,Add functions from llvm,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/5391,C++,https://github.com/emscripten-core/emscripten/issues/5391#issue-243156004,Globals,,Global constructors are optimzed away,Missing Symbol,,Add support for not optimizing away all constructors,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/5370,C,https://github.com/emscripten-core/emscripten/issues/5370#issue-241358675,Integers,int64_t,Setting EMULATED_FUNCTION_POINTERS option disables 64-bit integers,Data Type Incompatibilities,Compiler Casting,Fix so that option can be disabled by choice,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/5268,C++,https://github.com/emscripten-core/emscripten/issues/5268#issue-233122758,Filesystem,FS.readdir,Filesystem permissions on Windows require different permissions bit ,Platform Differences,,Add conditional check for Windows,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/5179,C,https://github.com/emscripten-core/emscripten/issues/5179#issue-225381531,"Filesystem, Memory","fopen, fgetc",File path references in old heap are not updated when heap is grown,Memory Allocation Differences,,Force --no-heap-copy option to prevent heap growth when filesystem is used,,,,,,,,,,
